section,section_label,order,date,kind,source,asset
04_7-9_months,04_7-9_months,10,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_09_08.114_ltk.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/010_2026-06-03_140908_photo.jpg
04_7-9_months,04_7-9_months,11,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_09_18.758_kbn.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/011_2026-06-03_140918_photo.jpg
04_7-9_months,04_7-9_months,12,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_09_31.784_q45.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/012_2026-06-03_140931_video.mp4
04_7-9_months,04_7-9_months,13,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_10_01.947_7g9.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/013_2026-06-03_141001_photo.jpg
04_7-9_months,04_7-9_months,14,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_10_07.242_ok5.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/014_2026-06-03_141007_photo.jpg
04_7-9_months,04_7-9_months,15,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_10_45.360_0yb.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/015_2026-06-03_141045_video.mp4
04_7-9_months,04_7-9_months,16,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_11_10.607_da4.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/016_2026-06-03_141110_video.mp4
04_7-9_months,04_7-9_months,17,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_11_44.679_nbo.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/017_2026-06-03_141144_video.mp4
04_7-9_months,04_7-9_months,18,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_12_02.887_a2l.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/018_2026-06-03_141202_photo.jpg
04_7-9_months,04_7-9_months,19,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_12_17.061_xou.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/019_2026-06-03_141217_photo.jpg
04_7-9_months,04_7-9_months,20,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_12_27.287_3hs.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/020_2026-06-03_141227_video.mp4
04_7-9_months,04_7-9_months,21,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_13_01.259_2yv.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/021_2026-06-03_141301_photo.jpg
04_7-9_months,04_7-9_months,22,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_13_03.758_6st.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/022_2026-06-03_141303_photo.jpg
04_7-9_months,04_7-9_months,23,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_13_17.145_rme.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/023_2026-06-03_141317_photo.jpg
04_7-9_months,04_7-9_months,24,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_13_25.692_wkt.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/024_2026-06-03_141325_photo.jpg
04_7-9_months,04_7-9_months,25,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_16_54.900_pfv.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/025_2026-06-03_141654_photo.jpg
04_7-9_months,04_7-9_months,26,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_16_59.828_5tu.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/026_2026-06-03_141659_video.mp4
04_7-9_months,04_7-9_months,28,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_17_32.268_t6a.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/028_2026-06-03_141732_photo.jpg
